pCO_atm,pCO2_atm,pCO2_ppm,aC_CO_CO2,C_wt_CO_CO2,pO2_atm,log10_pO2,aC_CH4_H2,C_wt_CH4_H2
0.2,0.0001,100.0,20232.406196997163,1.427,8.141548701328788e-23,-22.0892929749061,7.640286909736712,1.427
0.2,0.00010985411419875583,109.85411419875584,18417.522497510894,1.427,9.825161056170268e-23,-22.007660321844877,7.640286909736712,1.427
0.2,0.00012067926406393288,120.67926406393289,16765.437172602025,1.427,1.1856932055682413e-22,-21.926027668783654,7.640286909736712,1.427
0.2,0.00013257113655901095,132.57113655901097,15261.546911450954,1.427,1.4308858345358089e-22,-21.84439501572243,7.640286909736712,1.427
0.2,0.00014563484775012445,145.63484775012444,13892.55834682594,1.427,1.726782494712879e-22,-21.762762362661203,7.640286909736712,1.427
0.2,0.00015998587196060574,159.98587196060575,12646.370550756574,1.427,2.0838684066043187e-22,-21.68112970959998,7.640286909736712,1.427
0.2,0.00017575106248547912,175.7510624854791,11511.968070559347,1.427,2.5147970571508964e-22,-21.599497056538755,7.640286909736712,1.427
0.2,0.00019306977288832496,193.06977288832496,10479.323559726748,1.427,3.0348385812711433e-22,-21.51786440347753,7.640286909736712,1.427
0.2,0.00021209508879201905,212.09508879201906,9539.309143002887,1.427,3.6624208654063173e-22,-21.436231750416308,7.640286909736712,1.427
0.2,0.00023299518105153718,232.99518105153717,8683.615732173394,1.427,4.419782547296265e-22,-21.35459909735508,7.640286909736712,1.427
0.2,0.0002559547922699536,255.9547922699536,7904.679579375953,1.427,5.33376105130328e-22,-21.272966444293857,7.640286909736712,1.427
0.2,0.0002811768697974231,281.17686979742314,7195.615418712719,1.427,6.436743583641489e-22,-21.191333791232633,7.640286909736712,1.427
0.2,0.00030888435964774815,308.88435964774817,6550.15560518189,1.427,7.767814786420968e-22,-21.10970113817141,7.640286909736712,1.427
0.2,0.000339322177189533,339.32217718953297,5962.594712958027,1.427,9.374141718102189e-22,-21.028068485110182,7.640286909736712,1.427
0.2,0.0003727593720314938,372.7593720314938,5427.739103307579,1.427,1.1312645237715807e-21,-20.94643583204896,7.640286909736712,1.427
0.2,0.0004094915062380423,409.4915062380423,4940.861016354225,1.427,1.365201701903899e-21,-20.864803178987735,7.640286909736712,1.427
0.2,0.0004498432668969444,449.8432668969444,4497.65678089659,1.427,1.6475153668459122e-21,-20.78317052592651,7.640286909736712,1.427
