run_id,current_density_mA_cm2,potential_V_vs_SHE,pH_bulk,temperature_C,bath_fe_M,bath_ni_M,carbon_loading_g_L,fe_wt_percent_predicted,ni_wt_percent_predicted,current_efficiency_percent_predicted,carbon_wt_percent_predicted,surface_blocking_factor,is_anomalous_predicted,mechanism_fe_ni,notes
SYNTHETIC-PHASE3-hydroxide_suppression-001,10.0,-0.673,3.5,60.0,0.6,0.4,2.5,0.96,99.04,98.6,0.01,0.994,False,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,22.083333333333336,-0.714,3.5,60.0,0.6,0.4,2.5,0.96,99.04,98.7,0.01,0.994,False,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,34.16666666666667,-0.741,3.5,60.0,0.6,0.4,2.5,1.04,98.96,98.7,0.01,0.994,False,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,46.25,-0.764,3.5,60.0,0.6,0.4,2.5,1.21,98.79,98.6,0.01,0.994,False,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,58.333333333333336,-0.789,3.5,60.0,0.6,0.4,2.5,1.53,98.47,98.4,0.02,0.993,False,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,70.41666666666667,-0.82,3.5,60.0,0.6,0.4,2.5,2.3,97.7,97.7,0.02,0.993,False,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,82.5,-0.867,3.5,60.0,0.6,0.4,2.5,4.86,95.14,95.8,0.02,0.993,False,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,94.58333333333334,-0.922,3.5,60.0,0.6,0.4,2.5,12.33,87.67,91.0,0.02,0.993,False,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,106.66666666666667,-0.958,3.5,60.0,0.6,0.4,2.5,22.17,77.83,85.4,0.03,0.993,False,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,118.75,-0.983,3.5,60.0,0.6,0.4,2.5,31.7,68.3,80.3,0.03,0.993,False,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
