run_id,current_density_mA_cm2,potential_V_vs_SHE,pH_bulk,temperature_C,bath_fe_M,bath_ni_M,carbon_loading_g_L,fe_wt_percent_predicted,ni_wt_percent_predicted,current_efficiency_percent_predicted,carbon_wt_percent_predicted,surface_blocking_factor,is_anomalous_predicted,mechanism_fe_ni,notes
SYNTHETIC-PHASE3-intermediate_adsorption-001,10.0,-0.689,3.5,60.0,0.6,0.4,2.5,1.32,98.68,98.1,0.01,0.994,False,intermediate_adsorption,Synthetic Phase III screening; mechanism=intermediate_adsorption. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-intermediate_adsorption-001,22.083333333333336,-0.734,3.5,60.0,0.6,0.4,2.5,1.41,98.59,98.2,0.01,0.994,False,intermediate_adsorption,Synthetic Phase III screening; mechanism=intermediate_adsorption. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-intermediate_adsorption-001,34.16666666666667,-0.766,3.5,60.0,0.6,0.4,2.5,1.68,98.32,98.1,0.01,0.994,False,intermediate_adsorption,Synthetic Phase III screening; mechanism=intermediate_adsorption. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-intermediate_adsorption-001,46.25,-0.796,3.5,60.0,0.6,0.4,2.5,2.23,97.77,97.7,0.01,0.994,False,intermediate_adsorption,Synthetic Phase III screening; mechanism=intermediate_adsorption. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-intermediate_adsorption-001,58.333333333333336,-0.831,3.5,60.0,0.6,0.4,2.5,3.5,96.5,96.7,0.02,0.993,False,intermediate_adsorption,Synthetic Phase III screening; mechanism=intermediate_adsorption. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-intermediate_adsorption-001,70.41666666666667,-0.876,3.5,60.0,0.6,0.4,2.5,6.91,93.09,94.3,0.02,0.993,False,intermediate_adsorption,Synthetic Phase III screening; mechanism=intermediate_adsorption. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-intermediate_adsorption-001,82.5,-0.917,3.5,60.0,0.6,0.4,2.5,13.06,86.94,90.5,0.02,0.993,False,intermediate_adsorption,Synthetic Phase III screening; mechanism=intermediate_adsorption. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-intermediate_adsorption-001,94.58333333333334,-0.945,3.5,60.0,0.6,0.4,2.5,19.58,80.42,86.8,0.02,0.993,False,intermediate_adsorption,Synthetic Phase III screening; mechanism=intermediate_adsorption. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-intermediate_adsorption-001,106.66666666666667,-0.965,3.5,60.0,0.6,0.4,2.5,25.4,74.6,83.7,0.03,0.993,False,intermediate_adsorption,Synthetic Phase III screening; mechanism=intermediate_adsorption. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-intermediate_adsorption-001,118.75,-0.981,3.5,60.0,0.6,0.4,2.5,30.42,69.58,81.0,0.03,0.993,False,intermediate_adsorption,Synthetic Phase III screening; mechanism=intermediate_adsorption. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
