run_id,current_density_mA_cm2,potential_V_vs_SHE,pH_bulk,temperature_C,bath_fe_M,bath_ni_M,carbon_loading_g_L,fe_wt_percent_predicted,ni_wt_percent_predicted,current_efficiency_percent_predicted,carbon_wt_percent_predicted,surface_blocking_factor,is_anomalous_predicted,mechanism_fe_ni,notes
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,10.0,-0.675,3.5,60.0,0.6,0.4,2.5,1.0,99.0,98.5,0.01,0.994,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,22.083333333333336,-0.716,3.5,60.0,0.6,0.4,2.5,1.0,99.0,98.7,0.01,0.994,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,34.16666666666667,-0.743,3.5,60.0,0.6,0.4,2.5,1.08,98.92,98.7,0.01,0.994,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,46.25,-0.765,3.5,60.0,0.6,0.4,2.5,1.23,98.77,98.6,0.01,0.994,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,58.333333333333336,-0.787,3.5,60.0,0.6,0.4,2.5,1.49,98.51,98.4,0.02,0.993,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,70.41666666666667,-0.811,3.5,60.0,0.6,0.4,2.5,1.96,98.04,98.0,0.02,0.993,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,82.5,-0.841,3.5,60.0,0.6,0.4,2.5,2.95,97.05,97.3,0.02,0.993,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,94.58333333333334,-0.878,3.5,60.0,0.6,0.4,2.5,5.27,94.73,95.6,0.02,0.993,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,106.66666666666667,-0.915,3.5,60.0,0.6,0.4,2.5,9.55,90.45,92.8,0.03,0.993,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,118.75,-0.943,3.5,60.0,0.6,0.4,2.5,14.54,85.46,89.8,0.03,0.993,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,130.83333333333334,-0.963,3.5,60.0,0.6,0.4,2.5,19.28,80.72,87.0,0.03,0.993,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,142.91666666666669,-0.979,3.5,60.0,0.6,0.4,2.5,23.55,76.45,84.6,0.03,0.993,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,155.0,-0.992,3.5,60.0,0.6,0.4,2.5,27.34,72.66,82.4,0.03,0.992,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,167.08333333333334,-1.004,3.5,60.0,0.6,0.4,2.5,30.7,69.3,80.3,0.03,0.992,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,179.16666666666669,-1.013,3.5,60.0,0.6,0.4,2.5,33.66,66.34,78.5,0.04,0.992,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,191.25,-1.022,3.5,60.0,0.6,0.4,2.5,36.29,63.71,76.7,0.04,0.992,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,203.33333333333334,-1.03,3.5,60.0,0.6,0.4,2.5,38.63,61.37,75.0,0.04,0.992,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,215.41666666666669,-1.038,3.5,60.0,0.6,0.4,2.5,40.71,59.29,73.4,0.04,0.992,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,227.5,-1.044,3.5,60.0,0.6,0.4,2.5,42.56,57.44,71.8,0.04,0.992,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,239.58333333333334,-1.051,3.5,60.0,0.6,0.4,2.5,44.22,55.78,70.3,0.05,0.991,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,251.66666666666669,-1.057,3.5,60.0,0.6,0.4,2.5,45.7,54.3,68.8,0.05,0.991,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,263.75,-1.062,3.5,60.0,0.6,0.4,2.5,47.03,52.97,67.3,0.05,0.991,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,275.83333333333337,-1.068,3.5,60.0,0.6,0.4,2.5,48.23,51.77,65.9,0.05,0.991,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,287.9166666666667,-1.073,3.5,60.0,0.6,0.4,2.5,49.31,50.69,64.5,0.05,0.991,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-mixed_metal_intermediate-001,300.0,-1.077,3.5,60.0,0.6,0.4,2.5,50.28,49.72,63.2,0.06,0.991,False,mixed_metal_intermediate,Synthetic Phase III screening; mechanism=mixed_metal_intermediate. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
