sweep,x_var,C_H_ppm
current_density,10.0,45.232046870470995
current_density,20.0,55.68718180873577
current_density,30.0,62.890148119924476
current_density,40.0,68.5589627787477
current_density,50.0,73.30561514254504
current_density,60.0,77.4268545122793
current_density,70.0,81.09155961365968
current_density,80.0,84.40598400977727
current_density,90.0,87.44178086550646
current_density,100.0,90.24979854955683
current_density,110.0,92.86756249408755
current_density,120.0,95.32363937566228
current_density,130.0,97.64033186799928
current_density,140.0,99.83542058778336
current_density,150.0,101.92333341754056
current_density,160.0,103.91595566651762
current_density,170.0,105.82320670308196
current_density,180.0,107.65346000549867
current_density,190.0,109.41385539576058
current_density,200.0,111.11053528979099
temperature,25.0,107.50973107218704
temperature,29.642857142857142,105.04271525226696
temperature,34.285714285714285,102.63230981537953
temperature,38.92857142857143,100.27721572831989
temperature,43.57142857142857,97.97616376667749
temperature,48.214285714285715,95.72791383081655
temperature,52.85714285714286,93.53125427755248
temperature,57.5,91.38500126716441
temperature,62.142857142857146,89.28799812539177
temperature,66.78571428571429,87.23911472007067
temperature,71.42857142857143,85.23724685207527
temperature,76.07142857142858,83.28131566023454
temperature,80.71428571428572,81.37026703990448
temperature,85.35714285714286,79.50307107488268
temperature,90.0,77.67872148235816
pH,2.0,360.9991941982273
pH,2.2857142857142856,360.9991941982273
pH,2.571428571428571,262.86451035437443
pH,2.857142857142857,189.17982204250617
pH,3.142857142857143,136.15000754489924
pH,3.4285714285714284,97.98520980906278
pH,3.7142857142857144,70.51855166559439
pH,4.0,50.75119131451982
pH,4.285714285714286,36.52490527680042
pH,4.571428571428571,26.286451035437445
pH,4.857142857142857,18.91798220425063
pH,5.142857142857142,13.615000754489934
pH,5.428571428571429,9.79852098090627
pH,5.7142857142857135,7.051855166559448
pH,6.0,5.075119131451983
