timestamp_s,potential_V_vs_ref,current_A,working_electrode_area_cm2,cycle,segment,temperature_C,pH,fe2_concentration_M,electrolyte_id,reference_electrode,notes
0.0,-0.2000384,-7.164292349438365e-07,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
0.1,-0.2050384,-3.891321505855923e-06,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
0.2,-0.21003840000000001,3.844269050346239e-08,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
0.3,-0.21503840000000002,4.415149282040127e-06,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
0.4,-0.22003840000000002,-4.37076687361668e-06,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
0.5,-0.2250384,-4.370684784745903e-06,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
0.6,-0.2300384,4.696064077536958e-06,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
0.7,-0.2350384,6.371736457645438e-07,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
0.8,-0.2400384,-5.5473719296747614e-06,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
0.9,-0.24503840000000002,-4.871997820701767e-07,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
1.0,-0.2500384,-5.517088464062312e-06,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
1.1,-0.2550384,-5.528648767851285e-06,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
1.2,-0.2600384,-1.9901886421698294e-06,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
1.3,-0.2650384,-1.2766401223288991e-05,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
1.4,-0.2700384,-1.1824589162565164e-05,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
1.5,-0.2750384,-6.0114376462048635e-06,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
1.6,-0.2800384,-8.26415560167212e-06,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
1.7,-0.2850384,-1.6287633370236308e-06,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
1.8,-0.29003840000000003,-7.740120377606055e-06,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
1.9,-0.29503840000000003,-1.0261518506676458e-05,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
2.0,-0.30003840000000004,4.12824384460777e-06,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
2.1,-0.30503840000000004,-4.328881502432678e-06,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
2.2,-0.31003840000000005,-2.862358976560381e-06,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
2.3,-0.31503840000000005,-1.0323740931067284e-05,1.0,1,forward,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,"Synthetic CV with Fe/HER, Ru=12.0 ohm, C_dl=40.0 uF"
