j_peak_mA_cm2,duty_cycle,frequency_Hz,waveform,mechanism,j_avg_mA_cm2,grain_size_um,yield_strength_MPa,uts_MPa,current_efficiency_pct,carbon_wt_pct,energy_cost_USD_per_kg,ni_wt_pct,elongation_pct
50.0,0.1,1.0,pe,hydroxide_suppression,5.0,4.2809,548.2,712.6,97.12,0.0,0.0988,98.87,13.2
50.0,0.1,1.0,pe,intermediate_adsorption,5.0,4.2809,547.4,711.6,96.62,0.0,0.0993,98.51,13.2
50.0,0.1,1.0,pe,mixed_metal_intermediate,5.0,4.2809,548.0,712.4,97.02,0.0,0.0989,98.83,13.2
50.0,0.1,1.0,pre,hydroxide_suppression,3.2,2.1527,650.3,845.4,96.92,0.0,0.099,98.8,10.6
50.0,0.1,1.0,pre,intermediate_adsorption,3.2,2.1527,649.3,844.1,96.43,0.0,0.0995,98.44,10.6
50.0,0.1,1.0,pre,mixed_metal_intermediate,3.2,2.1527,650.1,845.2,96.82,0.0,0.0991,98.76,10.6
50.0,0.1,10.0,pe,hydroxide_suppression,5.0,3.9384,549.8,714.8,98.1,0.0,0.0978,98.87,13.2
50.0,0.1,10.0,pe,intermediate_adsorption,5.0,3.9384,549.1,713.8,97.6,0.0,0.0983,98.51,13.2
50.0,0.1,10.0,pe,mixed_metal_intermediate,5.0,3.9384,549.7,714.6,98.0,0.0,0.0979,98.83,13.2
50.0,0.1,10.0,pre,hydroxide_suppression,3.2,1.9805,652.3,848.0,97.9,0.0,0.098,98.8,10.6
50.0,0.1,10.0,pre,intermediate_adsorption,3.2,1.9805,651.4,846.8,97.4,0.0,0.0985,98.44,10.6
50.0,0.1,10.0,pre,mixed_metal_intermediate,3.2,1.9805,652.1,847.8,97.8,0.0,0.0981,98.76,10.6
50.0,0.1,50.0,pe,hydroxide_suppression,5.0,3.7299,550.9,716.2,98.79,0.0,0.0972,98.87,13.2
50.0,0.1,50.0,pe,intermediate_adsorption,5.0,3.7299,550.2,715.3,98.28,0.0,0.0977,98.51,13.2
50.0,0.1,50.0,pe,mixed_metal_intermediate,5.0,3.7299,550.8,716.0,98.68,0.0,0.0973,98.83,13.2
50.0,0.1,50.0,pre,hydroxide_suppression,3.2,1.8756,653.6,849.7,98.58,0.0,0.0974,98.8,10.6
50.0,0.1,50.0,pre,intermediate_adsorption,3.2,1.8756,652.7,848.6,98.08,0.0,0.0979,98.44,10.6
50.0,0.1,50.0,pre,mixed_metal_intermediate,3.2,1.8756,653.4,849.5,98.48,0.0,0.0975,98.76,10.6
50.0,0.1,100.0,pe,hydroxide_suppression,5.0,3.6467,551.3,716.7,99.08,0.0,0.0969,98.87,13.2
50.0,0.1,100.0,pe,intermediate_adsorption,5.0,3.6467,550.7,715.9,98.58,0.0,0.0974,98.51,13.2
50.0,0.1,100.0,pe,mixed_metal_intermediate,5.0,3.6467,551.2,716.6,98.98,0.0,0.097,98.83,13.2
50.0,0.1,100.0,pre,hydroxide_suppression,3.2,1.8338,654.1,850.4,98.88,0.0,0.0971,98.8,10.6
50.0,0.1,100.0,pre,intermediate_adsorption,3.2,1.8338,653.3,849.3,98.37,0.0,0.0976,98.44,10.6
50.0,0.1,100.0,pre,mixed_metal_intermediate,3.2,1.8338,654.0,850.2,98.78,0.0,0.0972,98.76,10.6
50.0,0.1,500.0,pe,hydroxide_suppression,5.0,3.4672,552.2,717.9,99.77,0.0,0.0962,98.87,13.2
50.0,0.1,500.0,pe,intermediate_adsorption,5.0,3.4672,551.6,717.1,99.26,0.0,0.0967,98.51,13.2
50.0,0.1,500.0,pe,mixed_metal_intermediate,5.0,3.4672,552.1,717.7,99.66,0.0,0.0963,98.83,13.2
50.0,0.1,500.0,pre,hydroxide_suppression,3.2,1.7435,655.2,851.8,99.56,0.0,0.0964,98.8,10.6
50.0,0.1,500.0,pre,intermediate_adsorption,3.2,1.7435,654.5,850.9,99.05,0.0,0.0969,98.44,10.6
50.0,0.1,500.0,pre,mixed_metal_intermediate,3.2,1.7435,655.1,851.6,99.46,0.0,0.0965,98.76,10.6
50.0,0.1,1000.0,pe,hydroxide_suppression,5.0,3.3952,552.4,718.1,100.0,0.0,0.096,98.87,13.2
50.0,0.1,1000.0,pe,intermediate_adsorption,5.0,3.3952,552.0,717.6,99.55,0.0,0.0964,98.51,13.2
50.0,0.1,1000.0,pe,mixed_metal_intermediate,5.0,3.3952,552.4,718.1,99.96,0.0,0.096,98.83,13.2
50.0,0.1,1000.0,pre,hydroxide_suppression,3.2,1.7073,655.6,852.3,99.86,0.0,0.0961,98.8,10.6
50.0,0.1,1000.0,pre,intermediate_adsorption,3.2,1.7073,655.0,851.5,99.35,0.0,0.0966,98.44,10.6
50.0,0.1,1000.0,pre,mixed_metal_intermediate,3.2,1.7073,655.5,852.2,99.76,0.0,0.0962,98.76,10.6
50.0,0.2,1.0,pe,hydroxide_suppression,10.0,4.3464,546.6,710.6,97.32,0.0,0.0986,98.96,13.2
50.0,0.2,1.0,pe,intermediate_adsorption,10.0,4.3464,546.0,709.8,96.92,0.0,0.099,98.59,13.2
50.0,0.2,1.0,pe,mixed_metal_intermediate,10.0,4.3464,546.6,710.6,97.32,0.0,0.0986,98.92,13.2
50.0,0.2,1.0,pre,hydroxide_suppression,8.4,2.4147,631.5,820.9,97.32,0.0,0.0986,98.94,11.1
50.0,0.2,1.0,pre,intermediate_adsorption,8.4,2.4147,630.7,819.9,96.92,0.0,0.099,98.59,11.1
50.0,0.2,1.0,pre,mixed_metal_intermediate,8.4,2.4147,631.5,820.9,97.32,0.0,0.0986,98.91,11.1
50.0,0.2,10.0,pe,hydroxide_suppression,10.0,3.9987,548.3,712.7,98.3,0.0,0.0976,98.96,13.2
50.0,0.2,10.0,pe,intermediate_adsorption,10.0,3.9987,547.7,712.0,97.9,0.0,0.098,98.59,13.2
50.0,0.2,10.0,pe,mixed_metal_intermediate,10.0,3.9987,548.3,712.7,98.3,0.0,0.0976,98.92,13.2
50.0,0.2,10.0,pre,hydroxide_suppression,8.4,2.2216,633.3,823.3,98.3,0.0,0.0976,98.94,11.1
50.0,0.2,10.0,pre,intermediate_adsorption,8.4,2.2216,632.6,822.4,97.9,0.0,0.098,98.59,11.1
50.0,0.2,10.0,pre,mixed_metal_intermediate,8.4,2.2216,633.3,823.3,98.3,0.0,0.0976,98.91,11.1
50.0,0.2,50.0,pe,hydroxide_suppression,10.0,3.7869,549.3,714.1,98.99,0.0,0.097,98.96,13.2
50.0,0.2,50.0,pe,intermediate_adsorption,10.0,3.7869,548.8,713.4,98.58,0.0,0.0974,98.59,13.2
50.0,0.2,50.0,pe,mixed_metal_intermediate,10.0,3.7869,549.3,714.1,98.99,0.0,0.097,98.92,13.2
50.0,0.2,50.0,pre,hydroxide_suppression,8.4,2.1039,634.5,824.9,98.99,0.0,0.097,98.94,11.1
50.0,0.2,50.0,pre,intermediate_adsorption,8.4,2.1039,633.9,824.1,98.58,0.0,0.0974,98.59,11.1
50.0,0.2,50.0,pre,mixed_metal_intermediate,8.4,2.1039,634.5,824.9,98.99,0.0,0.097,98.91,11.1
50.0,0.2,100.0,pe,hydroxide_suppression,10.0,3.7025,549.7,714.6,99.28,0.0,0.0967,98.96,13.2
50.0,0.2,100.0,pe,intermediate_adsorption,10.0,3.7025,549.2,714.0,98.88,0.0,0.0971,98.59,13.2
50.0,0.2,100.0,pe,mixed_metal_intermediate,10.0,3.7025,549.7,714.6,99.28,0.0,0.0967,98.92,13.2
50.0,0.2,100.0,pre,hydroxide_suppression,8.4,2.057,635.0,825.5,99.28,0.0,0.0967,98.94,11.1
50.0,0.2,100.0,pre,intermediate_adsorption,8.4,2.057,634.4,824.7,98.88,0.0,0.0971,98.59,11.1
50.0,0.2,100.0,pre,mixed_metal_intermediate,8.4,2.057,635.0,825.5,99.28,0.0,0.0967,98.91,11.1
50.0,0.2,500.0,pe,hydroxide_suppression,10.0,3.5202,550.5,715.6,99.97,0.0,0.096,98.96,13.2
50.0,0.2,500.0,pe,intermediate_adsorption,10.0,3.5202,550.1,715.2,99.56,0.0,0.0964,98.59,13.2
50.0,0.2,500.0,pe,mixed_metal_intermediate,10.0,3.5202,550.5,715.6,99.97,0.0,0.096,98.92,13.2
50.0,0.2,500.0,pre,hydroxide_suppression,8.4,1.9557,635.9,826.7,99.97,0.0,0.096,98.94,11.1
